Amount for P&L,,"14,471 Kč","12,475 Kč","15,968 Kč","12,974 Kč","7,485 Kč","5,988 Kč","7,485 Kč","7,984 Kč","7,984 Kč","12,475 Kč","13,473 Kč","15,469 Kč",,"22,427 Kč","20,786 Kč","21,880 Kč","18,598 Kč","14,769 Kč","4,923 Kč","6,564 Kč","6,017 Kč","6,017 Kč","20,239 Kč","18,051 Kč","22,427 Kč",,"24,726 Kč","23,458 Kč","24,092 Kč","16,000 Kč","15,850 Kč","5,706 Kč","6,974 Kč","5,706 Kč","6,974 Kč","20,288 Kč","22,470 Kč","26,964 Kč",,"23,219 Kč","22,845 Kč","24,343 Kč","15,079 Kč",#VALUE!,"6,209 Kč","6,209 Kč","6,209 Kč","8,870 Kč","21,288 Kč","23,949 Kč","31,932 Kč",,,,,,,,,,,,,
Comment,,В 2022 в ОПиУ Revelton пошел только расход за апартаменты,,,,,новый счетчик,,,,,,,,,,,,,,,,,,,,,"еще не делали перерасчет для БЛ, ждем завершение ремонта оборудования",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
from invoices,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,30,29,17,15,11,12,11,12,22,33,42,,48,47,35,19,19,9,12,10,14,31,45,,,,,,,,,,,,,,
Consumption per 1% occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,44.52,35.70,38.43,33.28,34.94,30.57,28.26,32.90,29.44,35.84,44.22,42.21,,48.46,32.07,34.15,36.74,27.77,28.44,33.98,32.51,26.40,30.98,44.89,45.97,,45.71,40.59,38.87,28.46,24.44,23.74,30.53,22.51,25.26,30.25,41.27,38.01,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Water,,1.13,0.70,0.75,0.82,1.22,0.95,1.02,0.99,0.90,1.12,1.11,1.21,,1.00,0.95,1.05,0.91,0.52,1.02,0.87,0.76,0.80,0.83,0.68,0.82,,0.80,0.70,0.80,0.71,0.74,0.76,0.67,0.79,0.67,0.77,0.75,0.79,,0.98,0.90,0.87,0.88,0.86,0.64,0.79,0.71,0.64,0.68,0.71,0.75,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Heating, Gj",,0.63,0.42,0.44,0.29,0.25,0.16,0.17,0.18,0.24,0.30,0.40,0.52,,0.58,0.47,0.58,0.44,0.38,0.13,0.14,0.12,0.16,0.51,0.55,0.54,,0.68,0.46,0.48,0.36,0.32,0.11,0.12,0.10,0.14,0.39,0.53,0.50,,0.45,0.41,0.43,0.20,#VALUE!,0.09,0.07,0.08,0.13,0.30,0.39,0.47,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,262Kč","19,020Kč","18,386Kč","10,778Kč","9,510Kč","6,974Kč","7,608Kč","6,974Kč","7,608Kč","13,948Kč","24,717Kč","31,458Kč",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"184,243Kč",,,,,,,,,,,,,,,,,,,,,,,,,
