,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comparison of cleaning speed per facility based on average apartment square footage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость ,86,,70,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость на кв.м,5.83,,3.58,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория,"Family Studio
No19",,,"Executive
No14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Метраж,25.5,,,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость ,100,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость на кв.м,3.90,,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория,"Classic
No6","Classiс
No4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Метраж,25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость ,74,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость на кв.м,2.96,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
